trip_month,pickup_borough,dropoff_borough,trip_count,avg_trip_distance,avg_total_amount,total_revenue
2017-08-01 00:00:00,Manhattan,Staten Island,1174,19.06,79.01,92758.6
2017-08-01 00:00:00,Queens,Bronx,11238,15.62,54.6,613633.63
2017-08-01 00:00:00,Manhattan,N/A,7895,14.16,79.47,627407.2
2017-09-01 00:00:00,Manhattan,Manhattan,7458318,1.88,12.61,94084024.95
2017-09-01 00:00:00,N/A,Manhattan,197,8.05,41.3,8135.7
2017-09-01 00:00:00,Staten Island,Staten Island,51,2.37,21.83,1113.19
2017-09-01 00:00:00,Brooklyn,Unknown,37,3.66,19.65,727.03
2017-10-01 00:00:00,Brooklyn,N/A,110,22.78,108.52,11937.71
2017-10-01 00:00:00,Brooklyn,Staten Island,64,13.29,56.53,3617.87
2017-10-01 00:00:00,Queens,EWR,436,32.73,142.64,62190.06
2017-10-01 00:00:00,N/A,EWR,89,9.65,86.11,7663.96
2017-12-01 00:00:00,Manhattan,Brooklyn,250354,6.19,28.02,7015614.26
2017-12-01 00:00:00,Queens,N/A,7557,20.73,95.41,720994.96
2017-12-01 00:00:00,Queens,Staten Island,452,27.05,93.12,42089.12
2017-12-01 00:00:00,Bronx,Queens,207,11.17,43.99,9105.97
2017-12-01 00:00:00,Unknown,N/A,101,5.19,87.65,8852.7
2017-12-01 00:00:00,Brooklyn,Unknown,117,4.1,19.98,2337.16
2017-12-01 00:00:00,Staten Island,EWR,2,19.21,138.35,276.7
2017-12-01 00:00:00,Unknown,Staten Island,7,15.97,97.62,683.36
2018-01-01 00:00:00,Queens,Brooklyn,71109,13.23,46.33,3294423.53
2018-01-01 00:00:00,Unknown,Bronx,93,7.98,38.13,3546.12
2018-02-01 00:00:00,Manhattan,Brooklyn,212789,6.15,27.8,5915599.1
2018-02-01 00:00:00,Unknown,Queens,1080,6.56,38.5,41579.27
2018-02-01 00:00:00,N/A,EWR,57,8.98,90.1,5135.95
2018-03-01 00:00:00,Manhattan,N/A,7897,14.15,81.44,643158.2
2018-03-01 00:00:00,Manhattan,Staten Island,1321,19.11,79.16,104574.11
2018-03-01 00:00:00,N/A,Manhattan,193,7.46,36.83,7107.99
